record_timestamp,devtmpfs,sda1,cs_root,tmpfs_root,usr,nice,sys,iowait,irq,soft,steal,guest,gnice,idle,mem_total,mem_used,mem_free,mem_shared,mem_buffcached,mem_available,swap_total,swap_used,swap_free
2024-02-26 17:20:30.671+02,4096,714040,11808860,714040,1.06,0,1.17,0.11,0,0.17,0,0,0,97.49,3747104,2208760,205736,5964,1626864,1542332,,2840,2094308
2024-02-26 17:21:30.792+02,4096,714040,11808728,714040,1.06,0,1.2,0.11,0,0.17,0,0,0,97.45,3747104,2220780,199468,5964,1576000,1524760,,2840,2094308
2024-02-26 17:23:56.825+02,4096,714040,11808180,714040,1.04,0,1.21,0.1,0,0.18,0,0,0,97.47,3747104,2228076,191100,5964,1580052,1517444,2097148,2840,2094308
2024-02-26 17:24:56.984+02,4096,714040,11807320,714040,1.04,0,1.24,0.1,0,0.18,0,0,0,97.44,3747104,2246040,177412,5964,1578688,1502140,2097148,2840,2094308
2024-02-26 17:25:57.145+02,4096,714040,11808340,714040,1.04,0,1.26,0.1,0,0.18,0,0,0,97.42,3747104,2252388,155400,5964,1575720,1495952,2097148,2840,2094308
2024-02-26 17:26:56.319+02,4096,714040,11807924,714040,1.04,0,1.28,0.1,0,0.18,0,0,0,97.39,3747104,2256788,163104,5964,1577868,1486380,2097148,2840,2094308
2024-02-26 17:27:56.428+02,4096,714040,11808608,714040,1.04,0,1.3,0.1,0,0.19,0,0,0,97.37,3747104,2244228,168440,5964,1568740,1503720,2097148,2840,2094308
2024-02-26 17:28:56.568+02,4096,714040,11808416,714040,1.04,0,1.33,0.1,0,0.19,0,0,0,97.34,3747104,2240020,139344,3732,1590740,1523708,2097148,5156,2091992
2024-02-26 17:29:56.723+02,4096,714040,11808656,714040,1.04,0,1.35,0.1,0,0.19,0,0,0,97.32,3747104,2242916,144168,3732,1595992,1502560,2097148,5156,2091992
2024-02-26 17:30:56.897+02,4096,714040,11808748,714040,1.04,0,1.37,0.1,0,0.2,0,0,0,97.3,3747104,2245336,259244,3732,1487412,1511616,2097148,5156,2091992
2024-02-26 17:31:56.929+02,4096,714040,11808216,714040,1.05,0,1.4,0.1,0,0.21,0,0,0,97.24,3747104,2238296,338484,3736,1412312,1497252,2097148,5156,2091992
2024-02-26 17:32:57.074+02,4096,714040,11808472,714040,1.05,0,1.42,0.1,0,0.21,0,0,0,97.21,3747104,2234700,334684,3740,1412220,1511352,2097148,5156,2091992
2024-02-26 17:33:57.203+02,4096,714040,11808128,714040,1.05,0,1.44,0.1,0,0.21,0,0,0,97.19,3747104,2234108,333604,3740,1412936,1510016,2097148,5156,2091992
2024-02-26 17:34:57.352+02,4096,714040,11807780,714040,1.05,0,1.46,0.1,0,0.22,0,0,0,97.17,3747104,2230552,340268,3748,1410588,1497764,2097148,5156,2091992
2024-02-26 17:35:57.463+02,4096,714040,11807932,714040,1.05,0,1.48,0.09,0,0.22,0,0,0,97.16,3747104,2232832,334216,3748,1411828,1512300,2097148,5156,2091992
2024-02-26 17:36:57.554+02,4096,714040,11807492,714040,1.05,0,1.5,0.09,0,0.22,0,0,0,97.14,3747104,2239972,330108,3748,1423912,1511268,2097148,5156,2091992
2024-02-26 17:37:58.336+02,4096,714040,11687540,714040,1.06,0,1.53,0.09,0,0.23,0,0,0,97.09,3747104,2304572,136612,3752,1553724,1443140,2097148,5156,2091992
2024-02-26 17:38:58.469+02,4096,714040,11503140,714040,1.1,0.04,1.87,0.15,0,0.29,0,0,0,96.55,3747104,2259540,258996,2172,1482540,1479912,2097148,6960,2090188
2024-02-26 17:39:58.474+02,4096,714040,11439420,714040,1.14,0.04,1.9,0.15,0,0.3,0,0,0,96.48,3747104,2372508,683660,2168,940296,1375100,2097148,6960,2090188
